id,nome,categoria,tipo,distrito,endereco,status_site,url_site,nota_google,reviews_google,volume_reviews,produto_onira,grau_fit,racional_fit,pitch_comercial,whatsapp,google_maps_url,instagram_handle,instagram_cadencia,guia_url
11,Café Galópolis,Gastronomia Rural,Rural / Interior,Galópolis,Café Galópolis - Serviço - Guia de Caxias do Sul,🔴 Sem Site (100% Guia),,4.7,147,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555432841551,"https://www.google.com/maps/dir//Cafeteria+Gal%C3%B3polis+-+R.+Pedro+Chaves,+102+-+Gal%C3%B3polis,+Caxias+do+Sul+-+RS,+95090-050/@-29.2309856,-51.158585,18.34z/data=!4m9!4m8!1m0!1m5!1m1!1s0x951ebb21d39d6a41:0x5459336cae1aab62!2m2!1d-51.1583695!2d-29.2306665!3e0",@cafgalpolis,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/cafe-galopolis-3029
12,Caminho s do Morango,Gastronomia Rural,Rural / Interior,Vila Seca,"Estrada Municipal Caminho dos Morangos, Vila Seca, Caxias do Sul",🔴 Sem Site (100% Guia),,4.6,177,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999670803,https://www.google.com/maps/place/CAMINHO,@caminhosdomorango,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/caminho-s-do-morango-2780
13,Cappelletti Burguer,Gastronomia Rural,Rural / Interior,Forqueta,"Cappelletti Burguer está localizada logo na entrada de Forqueta. Serve xis, baur",🟢 Site Ativo (200),https://cappellettiburguer.com.br/cardapio,4.8,38,💤 Baixo (<50),Onira.fly (Canal Próprio & Cardápio Digital),🟡 Fit Alto,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999714772,"https://www.google.com/maps/dir//-29.2126238,-51.2837252/@-29.2126191,-51.2859139,17z/data=!4m2!4m1!3e0",@cappellettiburguer,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/cappelletti-burguer-1722
14,Casa Nobre Hamburgueria,Gastronomia Rural,Rural / Interior,Ana Rech,Av. Rio Branco - Ana Rech - ao lado da praça.,🔴 Sem Site (100% Guia),,4.8,116,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554992515230,"https://www.google.com.br/maps/dir//Casa+Nobre+Hamburguer+-+Av.+Rio+Branco+-+Ana+Rech,+Caxias+do+Sul+-+RS,+95060-145/@-29.1133364,-51.0865205,19.86z/data=!4m8!4m7!1m0!1m5!1m1!1s0x951ebf07270d9feb:0x87001133c0e94c!2m2!1d-51.0862913!2d-29.1133394?entry=ttu",@casanobrehamburgueri,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/casa-nobre-hamburgueria-3156
15,Churrascaria Caminho do sol,Gastronomia Rural,Rural / Interior,Ana Rech,"RS 453, Rota do Sol, Ana Rech,  Caxias do Sul",🔴 Sem Site (100% Guia),,4.7,209,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554996850056,"https://www.google.com.br/maps/dir//Churrascaria+Caminho+do+Sol+-+Av.+Dante+Marcucci+-+Ana+Rech,+Caxias+do+Sul+-+RS,+95060-160/@-29.1284921,-51.074454,116m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ebf939a24fa0d:0x824166ff887e3dfe!2m2!1d-51.0745608!2d-29.1283916!3e0?entry=ttu&g_ep=EgoyMDI0MTAxNi4wIKXMDSoASAFQAw%3D%3D",@churrascariacaminhod,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/churrascaria-caminho-do-sol-2776
16,Churrascaria do Gaúcho,Gastronomia Rural,Rural / Interior,Ana Rech," RS 453 - Rota do Sol, KM 153 - Ana Rech, ",🔴 Sem Site (100% Guia),,4.5,145,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5551997323476,"https://www.google.com.br/maps/dir//-29.126403,-51.072188/@-29.1264018,-51.0728317,188m/data=!3m1!1e3?entry=ttu",@churrascariadogacho,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/churrascaria-do-gaucho-3154
17,Colônia Klering,Gastronomia Rural,Rural / Interior,Loreto," Estrada Cerro da Glória, a 300 metros da Estada da Uva. Localidade de Loreto, 2",🔴 Sem Site (100% Guia),,4.9,207,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554992772543,"https://www.google.com.br/maps/place/Col%C3%B4nia+Klering/@-29.2903656,-51.2380365,481m/data=!3m1!1e3!4m5!3m4!1s0x951ea516a32e6023:0x904bf22d96f86925!8m2!3d-29.2898342!4d-51.2373858",@colniaklering,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/colonia-klering-2924
18,Côlonia Pouso Alto,Gastronomia Rural,Rural / Interior,Fazenda Souza," Rua Demétrio Giacomet, 2588, Zona Giacomet, Distrito de Fazenda Souza. Ao deixa",🔴 Sem Site (100% Guia),,4.5,229,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554991453623,"https://www.google.com/maps/dir//Caxias+do+Sul,+Rio+Grande+do+Sul/@-29.1052372,-51.012878,680m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ec080f897707f:0xc66e5f9f6f497773!2m2!1d-51.0097225!2d-29.1047282!3e0?hl=pt-BR",@cloniapousoalto,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/colonia-pouso-alto-2761
19,Corujão Lanches,Gastronomia Rural,Rural / Interior,Distritos / Interior,Camila Letícia Chinali e Lucas Cecatto tocam a lancheria há seis anos em Santa L,🔴 Sem Site (100% Guia),,4.4,468,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999714254,"https://www.google.com.br/maps/dir//Coruj%C3%A3o+lanches,+Caxias+do+Sul+-+RS/@-29.241788,-51.0209663,18z/data=!4m9!4m8!1m0!1m5!1m1!1s0x951eb7c36d06af85:0x371087ee34582ff3!2m2!1d-51.0211619!2d-29.241969!3e0",@corujolanches,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/corujao-lanches-2744
20,Eskimó Ana Rech A Parada do Verão,Gastronomia Rural,Rural / Interior,Ana Rech,Eskimó Ana Rech A Parada do Verão - Serviço - Guia de Caxias do Sul,🔴 Sem Site (100% Guia),,4.6,170,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554992071211,"https://www.google.com/maps/dir//Eskim%C3%B3+parada+do+ver%C3%A3o+Ana+Rech+-+Av.+Rio+Branco,+3013+-+Ana+Rech,+Caxias+do+Sul+-+RS,+95060-145/@-29.1136865,-51.0935913,87m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951ebe7494735a91:0xbef922041885a39e!2m2!1d-51.0938361!2d-29.1135728!3e0",@eskimanarechaparadad,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/eskimo-ana-rech-a-parada-do-verao-3086
21,Etnias Garden Café,Gastronomia Rural,Rural / Interior,Criúva,"15 de Novembro, Criúva",🔴 Sem Site (100% Guia),,4.8,408,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999151536,"https://www.google.com/maps/dir//-28.8748171,-50.9778095/@-28.8750599,-50.9779996,186m/data=!3m1!1e3?entry=ttu",@etniasgardencaf,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/etnias-garden-cafe-3191
22,Gruta 3ª Légua Restaurante e Lanches,Gastronomia Rural,Rural / Interior,Distritos / Interior,"Estrada do Imigrante, São Pedro da 3ª Légua - ÁREA RURAL",🔴 Sem Site (100% Guia),,4.6,98,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554991530855,"https://www.google.com.br/maps/dir//Gruta+da+Terceira+L%C3%A9gua+-+Nossa+Senhora+de+Lurdes+-+3%C2%BA+L%C3%A9gua,+Estrada+do+Imigrante,+s%2Fn+-+Gal%C3%B3polis,+Caxias+do+Sul+-+RS,+95090-020/@-29.264118,-51.1783989,17z/data=!4m9!4m8!1m0!1m5!1m1!1s0x951ea32ad5971f03:0x6a87dd290a3152cb!2m2!1d-51.1762113!2d-29.2641225!3e0",@gruta3lguarestaurant,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/gruta-3a-legua-restaurante-e-lanches-1768
23,Ju Lanches e Restaurante,Gastronomia Rural,Rural / Interior,Distritos / Interior,O bauru servido no Restaurante e Lancheria da Ju é famoso e atrai pessoas de div,🔴 Sem Site (100% Guia),,4.9,228,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",Não informado,"https://www.google.com.br/maps/dir//R.+%C3%82ngelo+Balbinotti,+Caxias+do+Sul+-+RS/@-29.0687043,-50.9734611,59m/data=!3m1!1e3!4m8!4m7!1m0!1m5!1m1!1s0x951ec03507e74583:0x3f039a0991572795!2m2!1d-50.9731428!2d-29.0685992",@julancheserestaurant,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/ju-lanches-e-restaurante-2801
24,Kioske Lanches e Restaurante,Gastronomia Rural,Rural / Interior,Fazenda Souza,"Rua Dante Marcucci, 6245 - Fazenda Souza",🔴 Sem Site (100% Guia),,4.4,185,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555432671324,https://www.google.com.br/maps/place/29%C2%B007,@kioskelancheserestau,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/kioske-lanches-e-restaurante-1663
25,Leddy's Burguer,Gastronomia Rural,Rural / Interior,Ana Rech,"Avenida Rio Branco, 2363, Ana Rech, Caxias do Sul",🔴 Sem Site (100% Guia),,4.8,351,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554991600624,https://www.google.com.br/maps/dir//Leddy,@leddysburguer,🔥 Alta (Feed semanal + Stories diários),https://www.guiadecaxiasdosul.com/empresa/onde-comer/leddys-burguer-2949
26,Leleko's Petiscaria Music Pub,Gastronomia Rural,Rural / Interior,Ana Rech,"Leleko's Petiscaria Music Pub em Ana Rech, ótima escolha para happy ou passar ho",🔴 Sem Site (100% Guia),,4.8,220,⚡ Médio (50-300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+555435380232,https://www.google.com.br/maps/dir//Leleko,@lelekospetiscariamus,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/lelekos-petiscaria-music-pub-3167
27,Los Manos Grill,Gastronomia Rural,Rural / Interior,Ana Rech,"Av. Rio Branco, 4949 - Ana Rech - Caxias do Sul",⚠️ Site Fora do Ar (404/SSL),https://www.losmanosgrill.com/,4.7,395,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",+5554999735022,"https://www.google.com/maps/dir//Restaurante+Los+Manos+Grill+-+Av.+Rio+Branco,+4949+-+Ana+Rech,+Caxias+do+Sul+-+RS,+95060-610/@-29.1175334,-51.1127309,20z/data=!4m8!4m7!1m0!1m5!1m1!1s0x951ebdea6b5d89d5:0x538b8c6f40fb5bb0!2m2!1d-51.1127745!2d-29.1175082?entry=ttu",@losmanosgrill,💤 Baixa / Esporádica (Apenas institucional),https://www.guiadecaxiasdosul.com/empresa/onde-comer/los-manos-grill-3144
28,Mucke Haus Café,Gastronomia Rural,Rural / Interior,Santa Lúcia do Piaí,"R. Rosa Franciozi Giordani, 220 - Santa Lúcia do Piaí",🔴 Sem Site (100% Guia),,4.4,373,🔥 Alto (>300),Onira.fly (Canal Próprio & Cardápio Digital),🔴 Fit Crítico,"Gastronomia dependente de fluxo de fim de semana ou delivery; alto impacto com cardápio visual ultra-rápido, rota Maps e pedido direto no WhatsApp.","Implantar canal próprio com cardápio interativo e checkout Pix, tornando o negócio 100% indexável na busca do Google e IA.",Não informado,"https://www.google.com.br/maps/dir//Mucke+Haus+Caf%C3%A9+-+R.+Rosa+Franciozi+Giordani,+220+-+Santa+L%C3%BAcia+do+Pia%C3%AD,+Caxias+do+Sul+-+RS/@-29.2408934,-51.0208768,63m/data=!3m1!1e3!4m9!4m8!1m0!1m5!1m1!1s0x951eb7bf7583c15f:0x2cee08d9d2e7d1f4!2m2!1d-51.0209621!2d-29.2407121!3e0?entry=ttu&g_ep=EgoyMDI0MDkxNi4wIKXMDSoASAFQAw%3D%3D",@muckehauscaf,⚡ Média (Stories periódicos / Link bio),https://www.guiadecaxiasdosul.com/empresa/onde-comer/mucke-haus-cafe-3230
